Title,Condition,Buy Price,Author,Publisher,ISBN
"West by West: My Charmed, Tormented Life",Good,6.09,Jonathan Coleman,Back Bay Books,0316053503
The Last Love Song: A Biography of Joan Didion,Good,10.89,Tracy Daugherty,St. Martin's Press,1250010020
It Doesn't Take A Hero: The Autobiography,Good,4.59,Norman Schwarzkopf,Bantam,0553563386
Between Heaven and the Real World: My Story,Good,5.49,Steven Curtis Chapman,Fleming H. Revell Company,0800729137
"Jefferson the Virginian (Jefferson and His Time, Vol. 1)",Good,6.79,Dumas Malone,Back Bay Books,0316544728
Tolkien: The Illustrated Encyclopedia,Very Good,42.79,David Day,MacMillan Publishing Company,002533431X
Devil's Guard,New,9.37,George Robert Elford,Dell,B00416MNEK
Twenty Years at Hull House: With Autobiographical Notes,Good,6.49,Jane Addams,Createspace Independent Publishing Platform,1543100716
Women of the West,Good,6.89,Cathy Luchetti,W. W. Norton & Company,039332155X
Keeping Secrets,Good,5.39,Suzanne Somers,Warner Books (NY),0446513954
The Atrocity Exhibition,New,19.81,J.G. Ballard,Re/Search Publications,1889307033
The Unforgiving Minute: A Soldier's Education,Good,4.39,Craig M. Mullaney,Penguin Books,0143116878
"John Paul Jones, Fighting Sailor",Good,5.59,Armstrong Sperry,Sterling Publishing (NY),1402736150
Ingrid Bergman: My Story,Very Good,8.79,Ingrid Bergman,Delacorte Press,0440032997
The Other Mrs. Kennedy : An Intimate and Revealing Look at the Hidden Life of Ethel Skakel Kennedy,Good,219.29,Jerry Oppenheimer,St. Martin's Press,0312956002
President McKinley: Architect of the American Century,New,18.02,Robert W. Merry,Simon & Schuster,1451625456
Elvis Aaron Presley: Revelations from the Memphis Mafia,Good,10.49,Alanna Nash,Aurum Press,1845131282
Abraham Lincoln: The Prairie Years,Very Good,4.79,Carl Sandburg,Clarion Books,0156026155
The Ballad of Sexual Dependency,Very Good,75.79,,Aperture,1597112100
Mafia Kingfish,Good,58.09,John H. Davis,McGraw-Hill Companies,0070157790
Rare Air: Michael on Michael,Good,5.49,Michael Jordan,Collins,0006382568
Stand by Your Man,Good,20.69,Tammy Wynette,Pocket Books,0671437100
A Sense of Where You Are: Bill Bradley at Princeton,Good,5.09,John McPhee,"Farrar, Straus and Giroux",0374526893
Jeb Stuart: The Last Cavalier,Good,5.59,Burke Davis,Burford Books,1580800750
Slim: Memories of a Rich and Imperfect Life,Good,5.99,Slim Keith,Simon & Schuster,0671631640
Estee: A Success Story,Good,84.89,Estee Lauder,Random House (NY),0394551915
Serpentine,Good,8.99,Thomas Thompson,Running Press Book Publishers,0786707496
Onions in the Stew,Good,7.89,Betty MacDonald,University of Washington Press,0295999802
"F*ck It, I'll Start Tomorrow: A True Story",Very Good,4.69,Action Bronson,Harry N. Abrams,141974478X
Leaders: Myth and Reality,Very Good,6.09,Jason Mangone,Portfolio,0525534377
Anybody Can Do Anything,New,18.26,Betty MacDonald,University of Washington Press,0295999799
Picasso (Masters of Art),Good,5.59,Hans Ludwig Cohn Jaffé,Harry N. Abrams,0810914808
March,Very Good,9.59,John Lewis,Top Shelf Productions,1603093958
The Voyageur,Good,5.29,Grace Lee Nute,Minnesota Historical Society Press,0873512138
Wounds of Passion: A Writing Life (Wounds of Passion),Good,14.59,bell hooks,Holt Paperbacks,0805057226
Geronimo: Wolf of the Warpath,Good,14.89,Ralph Moody,Random House,B0006AVF94
Are You Lonesome Tonight?,Good,8.39,Barbin Lucy De,Jove Books,1557730474
One Way Out: The Inside History of the Allman Brothers Band,Very Good,17.89,Alan Paul,St. Martin's Griffin,1250040507
What Would Frida Do?: A Guide to Living Boldly,Good,4.39,Arianna Davis,Seal Press (CA),1541646320
MIG Pilot: The Final Escape of Lt. Belenko,Good,32.99,John Daniel Barron,Avon Books,0380538687
Groucho and Me,Good,5.99,Groucho Marx,Da Capo,0306806665
Midnight Express,Acceptable,8.69,William Hoffer,Curly Brains Press,0988981440
Beethoven's Hair: An Extraordinary Historical Odyssey and a Scientific Mystery Solved,Good,4.79,Russell Martin,Charlesbridge Publishing,1570917159
Down the Fairway,Good,6.39,Robert T. Jones Jr.,British American Publishing,0945167555
Snowman: The True Story of a Champion,Good,4.99,Catherine Hapka,Aladdin Paperbacks,1481478133
Chicago: City on the Make,Very Good,8.19,Nelson Algren,University of Chicago Press,0226013863
The Sleeping Lady: The Trailside Murders Above the Golden Gate,Good,9.29,Robert Graysmith,Onyx Books,0451402553
Hitler: A Study in Tyranny,Good,5.59,Alan Bullock,Harper Perennial,0060920203
Of Whom the World Was Not Worthy,Acceptable,13.89,Marie Chapian,Bethany House Publishers,0871232502
Letters to an American Lady,Good,8.89,C.S. Lewis,William B. Eerdmans Publishing Company,0802871828
Benjamin Franklin,Good,8.49,Carl van Doren,Penguin Group,0140152601
"String Too Short to Be Saved (Nonpareil Books, No. 5)",Very Good,9.29,Donald Hall,David R. Godine Publisher,1567927106
Eastern Approaches,Good,16.39,Fitzroy Maclean,Penguin Group,0141042842
Last Testament of Lucky Luciano,Acceptable,40.59,Martin A. Gosch,Dell Publishing,B000NKF3YA
Building a Champion: On Football and the Making of the 49Ers,Good,5.59,Bill   Walsh,St. Martin's Press,0312049692
Edna St. Vincent Millay: Collected Lyrics,Good,5.19,Edna St. Vincent Millay,Harper Perennial,0060908637
Settle For More,Good,4.59,Megyn Kelly,Harper Paperbacks,0062495143
In God's Underground,Acceptable,8.19,Richard Wurmbrand,Living Sacrifice Book Co,0882643487
In His Own Write,Good,20.39,John Lennon,Simon & Schuster,0684868075
Christ in Dachau,New,17.37,John M. Lenz,Sophia Institute Press,1644138905
The Writings of John Lennon: In His Own Write & A Spaniard in the Works,Good,8.09,John Lennon,Simon & Schuster,1451611013
The Innocents Abroad / Roughing It,Good,7.69,Mark Twain,Library of America,0940450259
The Coldest War: A Memoir of Korea,Good,4.99,James Brady,St. Martin's Griffin,0312265115
The Tomb of Tutankhamen,Very Good,31.59,Howard Carter,Cambridge University Press,1108018149
Buried Dreams: Inside the Mind of a Serial Killer,Good,5.99,Tim Cahill,Bantam Books,0553051156
The Colonel: The Extraordinary Story of Colonel Tom Parker and Elvis Presley,Good,8.99,Alanna Nash,Simon & Schuster,1451613571
Αναφορά στον Γκρέκο,Good,8.19,Nikos Kazantzakis,Faber & Faber,0571195075
Playing With Fire,Good,6.79,Theo Fleury,Triumph Books (IL),1600786375
"Child of Satan, Child of God",Acceptable,12.29,Bob Slosser,Bridge-Logos,0882702769
Kaputt,Very Good,12.89,Curzio Malaparte,New York Review of Books,1590171470
Burton on Burton,Good,6.29,Tim Burton,"Farrar, Straus and Giroux",0571229263
Joan Crawford,Good,9.29,Bob Thomas,Simon & Schuster,1501194356
Sing Me Back Home,Good,27.69,Merle Haggard,Times Books,0812909860
This Life,Good,11.19,Sidney Poitier,Alfred A. Knopf,0394505492
A Trip Into the Supernatural,,0.0,Roger J. Morneau,Review & Herald Publishing,0828001383
Letter from New York: BBC Women's Hour Broadcasts,Good,15.79,Helene Hanff,Harper Perennial,0060975431
Here's the Deal: Don't Touch Me,Good,4.89,Josh Young,Random House Publishing Group,0553386654
Elizabeth Taylor: The Last Star,Good,5.49,Kitty Kelley,Simon & Schuster,1451656769
George Muller of Bristol: His Life of Prayer and Faith (Hendrickson Classic Biographies),Acceptable,8.29,Arthur Tappan Pierson,Waymark Books,1611045185
Borden of Yale (Men of Faith),Acceptable,14.39,Mrs. Howard Taylor,Aneko Press,B0CN8D4LHW
The Boo,Good,20.39,Pat Conroy,R Bemis Pub,0891760415
The Jaws Log,Very Good,8.19,Carl Gottlieb,Dey Street Books,0062229281
The Matriarch: Barbara Bush and the Making of an American Dynasty,Very Good,5.19,Susan Page,Twelve,1538713632
One Special Summer,Good,13.39,Lee Bouvier Radziwill,Rizzoli International Publications,0847827879
Different Like Me: My Book of Autism Heroes,Good,4.49,Jennifer Elder,Jessica Kingsley Publishers,1843108151
The Book of Stillmeadow,Good,21.79,Gladys Taber,HarperCollins Publishers,0060152400
"Writings: The Autobiography / Poor Richard’s Almanack / Bagatelles, Pamphlets, Essays & Letters",Good,6.29,Benjamin Franklin,Library of America,0940450291
Debbie: My Life,Very Good,5.89,Debbie Reynolds,William Morrow & Company,068806633X
Linda McCartney's Sixties: Portrait of an Era,Good,12.39,Linda McCartney,Bulfinch Press,0821219596
I. Asimov: A Memoir,Acceptable,4.79,Isaac Asimov,Bantam,055356997X
Life Beyond Measure: Letters to My Great-Granddaughter,Very Good,5.99,Sidney Poitier,HarperOne,0061496200
Six Years with the Texas Rangers 1875 to 1881,Good,6.69,James B. Gillett,Bison Books,0803258445
Kit Carson and the Wild Frontier,New,12.98,Ralph Moody,Bison Books,0803283040
The Rockefeller File,Acceptable,12.79,Gary Allen,Dauphin Publications,1939438780
Edge of Taos Desert: An Escape to Reality,Good,6.69,Mabel Dodge Luhan,University of New Mexico Press,0826309712
Fight Grind Repeat: Fight Grind Repeat,Very Good,5.59,Bobby Bones,Dey Street Books,0062795821
The most dangerous animal of all,Very Good,4.89,Gary L. Stewart,Harper Paperbacks,0062313177
My Life,Acceptable,6.69,Isadora Duncan,Liveright Publishing Corporation,0871403188
U2 by U2,Good,4.99,Neil  McCormick,It Books,006190385X
Self-Portrait Of A Hero: The Letters Of Jonathan Netanyahu (1963-1976),Good,7.09,Jonathan Netanyahu,Ballantine Books,0345300963
Soldier,Acceptable,40.39,Anthony B. Herbert,DELL BOOKS,B000PGHODU
The Lives of John Lennon,Very Good,8.29,Albert Goldman,William Morrow & Company,0688047211
A Golfer's Life,Very Good,5.19,James Dodson,Ballantine Books,0345414810
Genghis Khan and the Mongol Horde,Good,4.19,Harold Lamb,Inquisicorp (Random House),1887840389
Total F*cking Godhead: The Biography of Chris Cornell,Very Good,19.59,Corbin Reiff,Post Hill Press,1642932159
"The Story of D-Day: June 6, 1944",Good,18.79,Bruce Bliven Jr.,Landmark Books,B002SDNSIS
"XOXO, Cody: An Opinionated Homosexual's Guide to Self-Love, Relationships, and Tactful Pettiness",Very Good,4.79,Cody Rigsby,Ballantine Books,0593722531
Memoirs of an Infantry Officer,Acceptable,9.89,Siegfried Sassoon,Penguin Publishing Group,014310716X
Elli,Good,8.19,Livia E. Bitton-Jackson,HarperCollins Publishers,0586062580
"The Diary of Anaïs Nin, 1947-1955",Good,6.09,Anaïs Nin,Mariner Books Classics,0156260301
Finding My Voice - Signed / Autographed Copy,Good,6.29,Valerie Jarrett,Penguin Publishing Group,0525558152
The World of William Penn,Good,15.89,Genevieve Foster,Beautiful Feet Books,1893103307
Ignition!: An informal history of liquid rocket propellants,Very Good,22.09,John Drury Clark,Rutgers University Press Classics,0813595835
The Sidereal Messenger of Galileo Galilei,Good,8.29,Galileo Galilei,University of Chicago Press,022632009X
Balancing ACT: The Authorized Biography of Angela Lansbury,Good,28.49,Martin Gottfried,Little Brown and Company,0316322253
The Summing Up,Good,18.89,W. Somerset Maugham,Hassell Street Press,1015312748
Guidebook for Marines,Good,10.29,U.S. Marine Corps,Marine Corps Association,0940328070
The Silence of the North,Acceptable,8.89,Olive A. Fredrickson,Warner Paperback Library,0446782408
Rose Wilder Lane: Her story,Good,6.49,Rose Wilder Lane,Stein and Day,0812821610
The Mottled Lizard,Good,4.19,Elspeth Huxley,Penguin Group,014005958X
This Bright Future: A Memoir,Very Good,7.89,Bobby Hall,Simon & Schuster,1982158255
Mani: Travels in the Southern Peloponnese,Very Good,8.39,Patrick Leigh Fermor,New York Review of Books,1590171888
Bismarck: The Man and the Statesman,Good,6.09,A.J.P. Taylor,Vintage,0394703871
The Table Talk of Martin Luther,Very Good,8.99,Martin Luther,Dover Publications,0486443590
Wolf Boys: Two American Teenagers and Mexico's Most Dangerous Drug Cartel,Good,5.59,Dan Slater,Simon & Schuster,1501126555
Military memoirs of a Confederate: A critical narrative,Acceptable,10.59,Edward Porter Alexander,Skyhorse Publishing,1628737638
Hunter: The Strange and Savage Life of Hunter S. Thompson,Acceptable,10.39,E. Jean Carroll,Dutton Books,0525935681
Tallulah: My Autobiography (Southern Icons Series),Good,12.29,Tallulah Bankhead,University Press of Mississippi,1578066352
Living Proof: An Autobiography,,0.0,Hank Williams Jr.,Penguin Adult Hc/Tr,0399123695
Elvis the Final Years,Acceptable,17.59,Jerry Hopkins,St. Martin's Press,0312243847
Behind the Urals: An American Worker in Russia's City of Steel,Good,5.49,John Scott,Indiana University Press,0253205360
The Life of Christ,New,19.99,Frederic W. Farrar,Windham Press,1628451203
"Black Women Writers at Work (Black Women Writers at Work, Paper)",New,19.05,,Haymarket Books,1642598402
Caught Up into Paradise,Good,7.49,Richard E. Eby,Fleming H. Revell Company,0800784898
"Cult Insanity: A Memoir of Polygamy, Prophets, and Blood Atonement",Good,4.79,Irene Spencer,Center Street,0446538191
Dangerous River : Adventure on the Nahanni,Acceptable,9.79,R.M. Patterson,Chelsea Green Publishing Company,0930031261
I Shock Myself: The Autobiography of Beatrice Wood,Good,9.09,Beatrice Wood,Chronicle Books,0877014981
A Good Life: Newspapering and Other Adventures,Very Good,4.89,Ben Bradlee,Simon & Schuster,1501191713
"Born Country: My Life in Alabama--How Faith, Family, and Music Brought Me Home",Good,30.19,Randy Owen,HarperOne,0061673153
My Turn at Bat: The Story of My Life,Very Good,4.79,John Underwood,Touchstone Books,0671634232
The American Cinema: Directors and Directions 1929-1968,New,16.37,Andrew Sarris,Da Capo,0306807289
The Art of Making Dances,Good,7.89,Doris Humphrey,Princeton Book Company,0871271583
Blackbeard the Pirate: A Reappraisal of His Life and Times,Good,4.79,Robert Earl Lee,Blair,0895870320
An Owl on Every Post,Very Good,14.09,Sanora Babb,Muse Ink Press,098599150X
How the Heather Looks: A Joyous Journey to the British Sources of Children's Books,New,17.28,Joan Bodger,Living Book Press,1922634700
Elvis and Ginger: Elvis Presley's Fiancée and Last Love Finally Tells Her Story,Acceptable,12.29,Ginger Alden,Penguin Publishing Group,0425266346
Granite,Good,4.29,David Monson,Trail Breaker Kennel,0975402927
Shantung Compound: The Story of Men and Women Under Pressure,Good,4.99,Langdon Gilkey,HarperOne,0060631120
Al Franken: Giant of the Senate,Very Good,5.79,Al Franken,Twelve,1455571202
Motel Chronicles,Acceptable,11.29,Sam Shepard,City Lights Books,0872861430
The Interrupted Journey: Two Lost Hours Aboard a Flying Saucer,New,15.12,John G. Fuller,Vintage,0593468236
Lessons in Excellence from Charlie Trotter,Good,21.59,Charlie Trotter,Ten Speed Press,0898159083
"Hell, I Was There!",,0.0,Elmer Keith,Petersen Publishing Company,0822730146
The Story of San Michele,Good,9.29,Axel Munthe,Lulu.com,0359748066
30 Years a Watchtower Slave: The Confessions of a Converted Jehovahs Witness,Acceptable,9.89,William J. Schnell,Baker Books,0801063841
Marriage to a Difficult Man: The Uncommon Union of Jonathan & Sarah Edwards,Good,19.09,Elisabeth D. Dodds,Westminster John Knox Press,0664209009
History of the Conquest of Mexico,Very Good,16.59,William Hickling Prescott,Modern Library,0375758038
His Eye is on the Sparrow: An Autobiography (Quality Paperbacks Series),Good,8.59,Ethel Waters,Da Capo,0306804778
Once is Enough,Good,7.19,Miles Smeeton,International Marine Publishing,0071414312
The Survivor: Bill Clinton in the White House,Good,4.99,John F. Harris,Random House Publishing Group,0375760849
"My Life on the Run: The Wit, Wisdom, and Insights of a Road Racing Icon",Very Good,5.69,Bart Yasso,Rodale Books,1594869413
Galileo and the Magic Numbers,New,19.55,Sidney Rosen,Open Road Integrated Media LLC,1504068874
Lifes a Banquet,Very Good,9.29,Rosalind Russell,Random House (NY),0394421345
The Man Who Kept The Secrets: Richard Helms And The CIA,Good,13.99,Thomas Powers,Alfred A. Knopf,0394506782
Charmer: The True Story of a Ladies' Man and His Victims,Good,5.49,Jack Olsen,Avon Books,0380716011
Breaking Clean,Very Good,4.89,Judy Blunt,Knopf Publishing Group,0375701303
Enter Talking,Very Good,6.79,Joan Rivers,Delacorte Press,0385294409
Paul Klee: Art For Children,Good,6.19,Ernest Raboff,HarperCollins Publishers,0064460657
Start Something That Matters,Good,4.19,Blake Mycoskie,Random House,0812981448
"Terror by Night: The True Story of the Brutal Texas Murder that Destroyed a Family, . . .",Good,10.19,Terry Caffey,Tyndale House Publishers,141437965X
The Fun of It: Random Records of My Own Flying and of Women in Aviation,Good,7.69,Amelia Earhart,Academy Chicago Publishers,091586455X
Patti LuPone: A Memoir,Very Good,10.69,Patti LuPone,Crown Publishing Group (NY),0307460746
A Long Way from Home,Like New,5.59,Tom Brokaw,Random House,0375507639
Stanton: Lincoln's Staunch Secretary of War,Very Good,12.69,Walter Stahr,Simon & Schuster,1476739307
Airman's Odyssey,Good,6.39,Antoine de Saint-Exupéry,Mariner Books Classics,0156037335
"MetaMaus: A Look Inside a Modern Classic, Maus",New,24.7,Art Spiegelman,Pantheon Books,037542394X
My Life with Elvis: The Fond Memories of a Fan Who Became Elvis' Private Secretary,Good,6.69,Becky Yancey,St. Martin's Press,0312558341
The Sixth Man,Very Good,4.99,Andre Iguodala,Blue Rider Press,0525533982
"The Wind at My Back: Resilience, Grace, and Other Gifts from My Mentor, Raven Wilkinson",Very Good,5.69,Misty Copeland,Grand Central Publishing,1538753855
Ernie: The Autobiography,Good,5.59,Ernest Borgnine,Kensington,0806529423
Yes I Can,Good,18.09,Sammy Davis Jr.,Createspace Independent Publishing Platform,1477611924
Writings,Good,9.39,Jared Sparks,Library of America,188301123X
Woodrow Wilson: A Biography,Good,5.39,August Heckscher,Scribner Book Company,0020038712
A Time to Heal: The Autobiography of Gerald R. Ford,Good,9.59,Gerald R. Ford,HarperCollins Publishers,0060112972
Truth About Sacajawea (Lewis & Clark Expedition),Good,5.49,Kenneth Thomasma,Grandview Pub. Co.,188011416X
Hitler,Acceptable,19.09,Joachim Fest,Mariner Books,0156027542
"Very Special People: The Struggles, Loves and Triumphs of Human Oddities",Very Good,12.39,Frederick Drimmer,"Amjon Publishers, 1973",B00220LWSK
"Once Upon a Time in Russia: The Rise of the Oligarchs - A True Story of Ambition, Wealth, Betrayal, and Murder",Very Good,5.69,Ben Mezrich,Atria Books,1476771901
Goldwyn: A Biography,Very Good,6.19,A. Scott Berg,Alfred A. Knopf,0394510593
The Selling of the President,Good,5.29,Joe McGinniss,Penguin Publishing Group,0140112405
Jock of the Bushveld,Very Good,7.89,J. Percy FitzPatrick,Createspace Independent Publishing Platform,1463788428
Backstage Passes & Backstabbing Bastards: Memoirs of a Rock 'n' Roll Survivor,Good,24.99,Al Kooper,Backbeat Books,0879309229
American Power and the New Mandarins,Good,6.19,Noam Chomsky,New Press,156584775X
The Road to Mecca,Good,12.19,Muhammad Asad,Fons Vitae,1887752374
Genghis Khan: Emperor of All Men,Good,6.89,Harold Lamb,Bantam Books,B0012LQMQW
Second Wind,,0.0,Taylor Branch,Random House (NY),0394503856
Damn Glad to Meet You: My Seven Decades in the Hollywood Trenches,New,22.98,Tim Matheson,Grand Central Publishing,0306832933
Tiger Im Schlamm,Good,18.59,Otto Carius,Stackpole Books,081173661X
The Death of Elvis: What Really Happened,Acceptable,7.49,Charles C. Thompson II,Dell Publishing Company,0440210488
Wir Kinder vom Bahnhof Zoo,Acceptable,138.19,Christiane Vera Felscherinow,Zest Books,1936976226
Not Fade Away: A Short Life Well Lived,Good,4.39,Laurence Shames,Harper Perennial,006073731X
Zeckendorf,New,16.62,William Zeckendorf,Parker Publishing,1684116945
The Courage to Change: Personal Conversation About Alcoholism with Dennis Wholey,Very Good,6.79,Dennis Wholey,Grand Central Publishing,0446357588
La Vie Quotidienne en Palestine au Temps de Jesus Christ,Good,13.39,Henri Daniel-Rops,Servant Publications,0892830859
The Court-Martial of Daniel Boone,Like New,12.29,Allan W. Eckert,iUniverse,0595089909
The Northern Farm: A Glorious Year on a Small Maine Farm,Acceptable,9.69,Henry Beston,Holt McDougal,0805030921
Fighting Back: The Rocky Bleier Story,Good,11.19,Terry O'Neil,Stein and Day,0812818458
Stay Hungry,Very Good,6.39,Sebastian Maniscalco,Gallery Books,1501115987
The Man Without a Country,Very Good,7.19,Edward Everett Hale,Independently Published,B08TFQT7GR
Three Came Home,Acceptable,6.59,Agnes Newton Keith,Little Brown and Company,0316486264
My Sister Marilyn: A Memoir of Marilyn Monroe,Good,9.99,Mona Rae Miracle,Algonquin Books of Chapel Hill,1565120701
The Reason Why: The Story of the Fatal Charge of the Light Brigade,Good,7.09,Cecil Woodham-Smith,Penguin Publishing Group,0140012788
Surprised by Grace: A True Story of Relentless Love,Good,6.59,Elizabeth Sherrill,Fleming H. Revell Company,0800758722
Ecstasy and Me: My Life as a Woman,Good,23.09,Hedy Lamarr,Fawcett,B0012GCA5Y
Man of Constant Sorrow: My Life and Times,Good,7.89,Ralph Stanley,Penguin Publishing Group,1592405843
Crazy from the Heat,Good,15.99,David Lee Roth,Hyperion Books,0786863390
Léon Tolstoï,Good,10.19,Henri Troyat,Grove Press,0802137687
Go Up For Glory,Good,11.79,Bill Russell,Dutton,059318422X
The Road to Middle-Earth: How J.R.R. Tolkien Created A New Mythology,Very Good,15.39,Tom Shippey,Mariner Books,0618257608
Prince of the City: The True Story of a Cop Who Knew Too Much,Very Good,6.99,Robert Daley,Houghton Mifflin,0395270960
The Boston Strangler,Good,7.29,Gerold Frank,Open Road Media,1504049373
Three Against the Wilderness (Classics West): A Gripping Memoir of a Pioneering Family in the Chilcotin - A Classic (Classics West),Good,26.99,Eric Collier,Touchwood Editions,1894898540
Pilote de guerre,Good,6.59,Antoine de Saint-Exupéry,Mariner Books Classics,0156318806
"Last Horizons: Hunting, Fishing & Shooting On Five Continents",Acceptable,67.29,Peter Hathaway Capstick,Congdon & Weed,0312929447
41: A Portrait of My Father,Like New,4.89,George W. Bush,Crown Publishing Group (NY),0553447785
Leadership,Like New,5.19,Rudolph W. Giuliani,Hyperion,0786868414
Shirley Temple: American Princess,Good,7.09,Anne Edwards,Lyons Press,1493026917
Harry S. Truman,Like New,6.19,Margaret Truman,Morrow,0688000053
"Killer Angel: A Short Biography of Planned Parenthood's Founder, Margaret Sanger",Good,7.59,George Grant,Cumberland House Publishing,1581821506
Au nom de tous les miens,Very Good,5.99,Martin Gray,Little Brown and Company,0316325767
Rudy: My Story,Acceptable,4.99,Rudy Ruettiger,Thomas Nelson,0718080068
Tearing Down the Wall of Sound: The Rise and Fall of Phil Spector,Acceptable,10.09,Mick Brown,Knopf Doubleday Publishing Group,1400076617
Hitler's War,Good,142.29,David Irving,Avon Books,0380758067
"Three Years Among the Comanches: The Narrative of Nelson Lee, the Texas Ranger",Very Good,8.39,Nelson Lee,Independently published,1519081855
Tom Crean: Unsung Hero of the Scott and Shackleton Antarctic Expeditions,Very Good,48.59,Michael  Smith,Mountaineers Books,089886870X
School of Darkness: The Record of a Life and of a Conflict Between Two Faiths,New,19.97,Bella V. Dodd,Angelico Press,1621382923
Aus Meinem Leben und Denken,Very Good,9.29,Albert Schweitzer,Johns Hopkins University Press,0801894123
Under Fire: An American Story,Good,5.09,Oliver North,HarperCollins Publishers,0061090565
"In the Blink of an Eye: Dale, Daytona, and the Day that Changed Everything",Very Good,6.09,Michael Waltrip,Hyperion - Acquired Assets,0786891394
The Complete Book of U.S. Presidents: From George Washington to George W. Bush,Good,6.89,William A. DeGregorio,Barricade Books,1569803625
The Bogey Man: A Month on the PGA Tour,Very Good,7.29,George Plimpton,Little Brown and Company,0316326267
An Appetite for Wonder: The Making of a Scientist,Good,4.49,Richard Dawkins,Ecco Press,0062225804
Nobody's Fool: The Lives of Danny Kaye,Good,7.89,Martin Gottfried,Simon & Schuster,0671864947
The Raven: A Biography of Sam Houston,Good,8.19,Marquis James,University of Texas Press,0292770405
In His Garden: The Anatomy of a Murderer,Good,44.19,Leo Damore,Arbor House Publishing,0877952507
Enzo Ferrari,Good,6.89,Brock Yates,Random House Trade,0399588612
Wilderness: A Journal of Quiet Adventure in Alaska--Including Extensive Hitherto Unpublished Passages from the Original Journal,Very Good,7.99,Rockwell Kent,Wesleyan University Press,0819552933
Combat Crew,Good,7.29,John Comer,Pocket Books,067167613X
Hell's Guest,Very Good,6.09,Glenn D. Frazier,Rojon Inc,0971703957
Encyclopedia of Western Gunfighters,Good,4.69,Bill O'Neal,University of Oklahoma Press,0806123354
The Swamp Fox of the Revolution,Very Good,62.89,Stewart Hall Holbrook,Sterling,1402757034
"Patton: The Man Behind the Legend, 1885-1945",Very Good,5.29,Martin Blumenson,William Morrow & Company,0688137954
Wyatt Earp: Frontier Marshal,Acceptable,24.89,Stuart N. Lake,Pocket Books,0671885375
The Burden Is Light: The Autobiography of a Transformed Pagan Who Took God at His Word,Very Good,14.09,Eugenia Price,Turner,1684426553
My Life in Spite of Myself,Good,5.79,Roy Clark,Simon & Schuster,0671864343
Martha: The Life of Martha Mitchell,Good,27.89,Winzola McLendon,Random House (NY),0394411242
Gandhi's Truth: On the Origins of Militant Nonviolence,Good,6.19,Erik H. Erikson,W. W. Norton & Company,0393310345
The Big Show,New,19.95,Pierre Clostermann,Silvertail Books,1909269859
Les Mots,Good,5.49,Jean-Paul Sartre,Knopf Doubleday Publishing Group,0394747097
"Elvis, My Brother/an Intimate Family Memoir of Life With the King",Good,10.49,Billy Stanley,St. Martin's Press,031203329X
Bogart: In Search of My Father,Very Good,5.79,Stephen Humphrey Bogart,Dutton Books,0525939873
Barefoot Heart: Stories of a Migrant Child,Good,4.79,Elva Treviño Hart,Bilingual Review Press (AZ),0927534819
Eating Royally: Recipes and Remembrances from a Palace Kitchen,Good,52.59,Darren McGrady,Thomas Nelson Inc,1401603211
Against All Hope: A Memoir of Life in Castro's Gulag,Good,5.69,Armando Valladares,Encounter Books,1893554198
Eōthen: Traces of Travel Brought Home from the East,Good,7.09,Alexander William Kinglake,Marlboro Press,0910395829
Modern Conductor,Good,9.09,Elizabeth A.H. Green,Prentice-Hall,0135901901
Malcolm X: The FBI File,New,13.49,Clayborne Carson,Skyhorse Publishing,161608376X
To Seek a Newer World,Good,8.79,Robert F. Kennedy,Bantam,B0006DCQU8
The Snake Pit,Acceptable,10.19,Mary Jane Ward,Library of America,159853680X
Picasso: Creator and Destroyer,Very Good,5.19,Arianna Huffington,Simon & Schuster,0671454463
The Hoffa Wars: The Rise and Fall of Jimmy Hoffa,Good,7.59,Dan E. Moldea,Paddington Press : distributed by Grosset & Dunlap,0448226847
Veronica: The Autobiography of Veronica Lake,Very Good,13.89,Veronica Lake,Dean Street Press,191305473X
Kelly,Good,13.69,Maggie          Smith,Smithsonian Books,0874744911
Long Live the King: A Biography of Clark Gable,Good,6.09,Lyn Tornabene,Penguin Adult HC/TR,0399118632
Wallis & Edward Letters 1931-37: The Intimate Correspondence of the Duke & Duchess of Windsor,Very Good,5.99,Wallis Warfield Windsor,Simon & Schuster,0671612093
"All I Did Was Ask: Conversations with Writers, Actors, Musicians, and Artists",Very Good,5.39,Terry Gross,Grand Central Publishing,1401300103
Lincoln and His Generals,Good,6.79,T. Harry Williams,Knopf Doubleday Publishing Group,0307741966
Baseball Is a Funny Game,Good,7.09,Joe Garagiola,Harper Perennial,0060916729
La Bonne Table,Good,15.39,Ludwig Bemelmans,David R. Godine Publisher,0879238089
Adolf Hitler,Very Good,15.69,Volker Ullrich,Vintage,1101872063
"Every Night, Josephine!",Very Good,76.29,Jacqueline Susann,Penguin Group,0143034340
Conversations With Tom Petty,Good,50.79,Paul Zollo,Omnibus Press,1844498158
Straight Life: The Story of Art Pepper,Good,13.69,Art Pepper,Da Capo Press,0306805588
Mr. Bell Invents the Telephone,Acceptable,6.59,Katherine Binney Shippen,Random House,B0007K8A0K
In the footsteps of a prophet,Acceptable,6.69,Jerry Savelle,J. Savelle Publications,0965535266
We Are Still Married,Good,5.09,Garrison Keillor,Penguin Adult Hc/Tr,0140131566
Judy Garland,New,23.46,Anne Edwards,Taylor Trade Publishing,1589797876
